,,,,
mombasamobilemoney@court.go.ke,account,mombasa mobile money,active,
kilifimobilemoney@court.go.ke,account,kilifi mobile money,active,
merumobilemoney@court.go.ke,account,meru mobile money,active,
machakosmobilemoney@court.go.ke,account,machakos mobile money,active,
mavokomobilemoney@court.go.ke,account,mavoko mobile money,active,
nyerimobilemoney@court.go.ke,account,nyeri mobile money,active,
limurumobilemoney@court.go.ke,account,limuru mobile money,active,
thikamobilemoney@court.go.ke,account,thika mobile money,active,
eldoretmobilemoney@court.go.ke,account,eldoret mobile money,active,
nakurumobilemoney@court.go.ke,account,nakuru mobile money,active,
narokmobilemoney@court.go.ke,account,narok mobile money,active,
webuyemobilemoney@court.go.ke,account,webuye mobile money,active,
kisumumobilemoney@court.go.ke,account,kisumu mobile money,active,
naivashamobilemoney@court.go.ke,account,naivasha mobile money,active,
commercialmobilemoney@court.go.ke,account,commercial mobile money,active,
dcj@court.go.ke,account,Deputy Chief. Justice,active,
coajudgement@court.go.ke,account,Courtorders Judgement,active,
mbitacourt@court.go.ke,account,Mbita Court,active,
jpip.procurement@court.go.ke,account,jpip procurement,active,
yoda@court.go.ke,account,Yoda Seagull,locked,
kapsabetmobilemoney@court.go.ke,account,kapsabet mobile money,active,
kerichomobilemoney@court.go.ke,account,kericho mobile money,active,
kakamegamobilemoney@court.go.ke,account,kakamega mobile money,active,
bondomobilemoney@court.go.ke,account,bondo mobile money,active,
kisiimobilemoney@court.go.ke,account,kisii mobile money,active,
githongomobilemoney@court.go.ke,account,githongo mobile money,active,
highcourtlibrarymombasa@court.go.ke,account,High Court Library. Mombasa,active,
s&acomplaintsandenquiries@court.go.ke,account,Salaries & Allowances Complaints and Enquiries,closed,
"trainingpolicy@courts.go.ke	account	Training Developmnt Policy	maintenance
alternativejustice@courts.go.ke	account	Alternative Justice	maintenance
loansmanagementcommittee@courts.go.ke	account	Loans Management Committe	active",,,,
payslips@court.go.ke,account,pay slips,active,
highcourtsupportdesk@court.go.ke,account,highcout supportdesk,active,
coajudgesdesk@court.go.ke,account,coa judgesdesk,active,
zimbra@court.go.ke,account,Admin Zimbra,active,
d@court.go.ke,account,d o,maintenance,
ict.testing@court.go.ke,account,ICT Testing,active,
aa@court.go.ke,account,a a,locked,
suprememobilemoney@court.go.ke,account,Supreme Mobile. Money,active,
industrialmobilemoney@court.go.ke,account,Industrial Mobile. Money,active,
ictweek@court.go.ke,account,Ict Week,maintenance,
kangemamobilemoney@court.go.ke,account,Kangema Mobilemoney,active,
kapenguriamobilemoney@court.go.ke,account,Kapenguria Mobilemoney,active,
bometmobilemoney@court.go.ke,account,Bomet Mobilemoney,active,
sotikmobilemoney@court.go.ke,account,Sotik Mobilemoney,active,
kimililimobilemoney@court.go.ke,account,Kimilili Mobilemoney,active,
winammobilemoney@court.go.ke,account,Winam Mobilemoney,active,
milimanicommercialmobile@court.go.ke,account,Milimanicommercial Mobilemoney,active,
judreviewsubmission@court.go.ke,account,Judiciary Review. Submission,active,
security@court.go.ke,account,Security Jud,active,
runyenjescourt@court.go.ke,account,Runyenjes Court,active,
highcourtkakamega@court.go.ke,account,Highcourt Kakamega,active,
siakagocourt@court.go.ke,account,Siakago Court,active,
ukwalamobilemoney@court.go.ke,account,Ukwala Mobilemoney,active,
mariakanimobilemoney@court.go.ke,account,Mariakani Mobilemoney,active,
kalolenimobilemoney@court.go.ke,account,Kaloleni Mobilemoney,active,
malindimobilemoney@court.go.ke,account,Malindi Mobilemoney,active,
garsenmobilemoney@court.go.ke,account,Garsen Mobilemoney,active,
holamobilemoney@court.go.ke,account,Hola Mobilemoney,active,
lamumobilemoney@court.go.ke,account,Lamu Mobilemoney,active,
karatinamobilemoney@court.go.ke,account,Karatina Mobilemoney,active,
makindumobilemoney@court.go.ke,account,Makindu Mobilemoney,active,
mauamobilemoney@court.go.ke,account,Maua Mobilemoney,active,
kangundomobilemoney@court.go.ke,account,Kangundo Mobilemoney,active,
nanyukimobilemoney@court.go.ke,account,Nanyuki Mobilemoney,active,
habasweincourt@court.go.ke,account,Habaswein Court,active,
ictreports@court.go.ke,account,Ict  Reports,active,
kandaramobilemoney@court.go.ke,account,Kandara Mobilemoney,active,
kigumomobilemoney@court.go.ke,account,Kigumo Mobilemoney,active,
ndhiwamobilemoney@court.go.ke,account,Ndhiwa Mobilemoney,active,
nyahururumobilemoney@court.go.ke,account,Nyahururu Mobilemoney,active,
